id	name	reaction_using_names	reaction_using_ids	Reversibility	enzyme(s)	orfs	nrc-1_genes	type	references
R04231	(R)-4'-Phosphopantothenate:L-cysteine ligase	CTP + D-4'-Phosphopantothenate + L-Cysteine => CMP + Pyrophosphate + (R)-4'-Phosphopantothenoyl-L-cysteine	C00063 + C03492 + C00097 => C00055 + C00013 + C04352	0	6.3.2.5	OE1856R	VNG0572G	Reaction	
R04591	1-(5-Phosphoribosyl)-5-amino-4-carboxyimidazole:L-aspartate ligase (ADP-forming)	ATP + 1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate + L-Aspartate <=> ADP + Orthophosphate + 1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	C00002 + C04751 + C00049 <=> C00008 + C00009 + C04823	1	6.3.2.6	OE3724F	VNG1939G	Reaction	
R03651	L-Glutamate:tRNA(Gln) ligase (AMP-forming)	ATP + L-Glutamate + tRNA(Gln) <=> AMP + Pyrophosphate + L-Glutamyl-tRNA(Gln)	C00002 + C00025 + C01640 <=> C00020 + C00013 + C06112	1	6.1.1.17	OE2652F	VNG1153G	Reaction	
R00275	Superoxide:superoxide oxidoreductase	O2.- + H+ <=> H2O2 + Oxygen	C00704 + C00080 <=> C00027 + C00007	1	1.15.1.1	OE2708R OE2906R	VNG1190G VNG1332G	Reaction	PMID:3341765
R01070	"beta-D-Fructose 1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase"	"D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate"	C00354 <=> C00111 + C00118	1	4.1.2.13	OE2019F	VNG0683C	Reaction	
R06411	"cis-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA hydro-lyase"	"cis-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA + H2O => 3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA"	C11946 + C00001 => C11947	0	4.2.1.17	OE3846R	VNG2032G	Reaction	
R00658	2-Phospho-D-glucerate hydro-lyase	2-Phospho-D-glycerate <=> Phosphoenolpyruvate + H2O	C00631 <=> C00074 + C00001	1	4.2.1.11	OE2640F	VNG1142G	Reaction	PMID:2256927 PMID:3255682 PMID:6642538 PMID:9827332
R10005		Prephytoene diphosphate + H+ + NADPH => Pyrophosphate + Phytoene + NADP+	C03427 + C00080 + C00005 => C00013 + C05413 + C00006	0	2.5.1.32	OE3093R OE3376F	VNG1458G VNG1680G	Reaction	PMID:2857171
R04035	Phosphoribosyl-ATP pyrophosphohydrolase	Phosphoribosyl-ATP + H2O => Phosphoribosyl-AMP + Pyrophosphate	C02739 + C00001 => C02741 + C00013	0	3.6.1.31	OE4641R	VNG2596G	Reaction	PMID:3700337
R02805	"P1,P4-Bis(5'-nucleosyl)-tetraphosphate nucleotidohydrolase"	"P1,P4-Bis(5'-xanthosyl) tetraphosphate + H2O => XTP + Xanthosine 5'-phosphate"	C04392 + C00001 => C00700 + C00655	0	3.6.1.17	OE1648R	VNG0431G	Reaction	
R00578	L-aspartate:L-glutamine amido-ligase (AMP-forming)	ATP + L-Aspartate + L-Glutamine + H2O => AMP + Pyrophosphate + L-Asparagine + L-Glutamate	C00002 + C00049 + C00064 + C00001 => C00020 + C00013 + C00152 + C00025	0	6.3.5.4	OE2278F	VNG0867G	Reaction	
R90094	ABC-T: (D-Galactose)	D-Galactose (E) + ATP + H2O => D-Galactose + ADP + H+ + Orthophosphate	CE00124 + C00002 + C00001 => C00124 + C00008 + C00080 + C00009	0		OE1314F	VNG0188H	Membrane Transport	
R90031	Symport: (L-Arginine:H+)	L-Arginine (E) + H+ (pmf associated) => L-Arginine + H+	CE00062 + C90000 => C00062 + C00080	0		OE1288F OE5101R	VNG0174G VNG6220G	Membrane Transport	PMID:889797
R02662		S-(2-Methylpropanoyl)-dihydrolipoamide + CoA => 2-Methylpropanoyl-CoA + Dihydrolipoamide	C04424 + C00010 => C00630 + C00579	0	2.3.1.-			Reaction	
R04520	Geranylgeranyl diphosphate:sn-3-O-(geranylgeranyl)glycerol 1-phosphate geranylgeranyltransferase	"Geranylgeranyl diphosphate + sn-3-O-(Geranylgeranyl)glycerol 1-phosphate <=> Pyrophosphate + 2,3-Bis-O-(geranylgeranyl)glycerol 1-phosphate"	C00353 + C04590 <=> C00013 + C04638	1	2.5.1.42			Reaction	PMID:16788058
R00533		Sulfite + Oxygen + H2O => Sulfate + H2O2	C00094 + C00007 + C00001 => C00059 + C00027	0	1.8.3.1	OE2569R		Reaction	
R05219		Precorrin 5 + S-Adenosyl-L-methionine + H2O => Precorrin 6X + Acetate + S-Adenosyl-L-homocysteine	C06416 + C00019 + C00001 => C06320 + C00033 + C00021	0	2.1.1.152			Reaction	
R90130	Shikimate synth. reaction	"4-Ketofructose-1,6-bisphosphate + NADH => 6-Deoxy-5-Ketofructose 1 phosphate + Orthophosphate + NAD+"	C90006 + C00004 => C90002 + C00009 + C00003	0				Reaction	PMID:15182204
R00375	Deoxyadenosine 5'-triphosphate:DNA deoxynucleotidyltransferase (DNA-directed)	dATP => Pyrophosphate + dAMP	C00131 => C00013 + C00360	0	2.7.7.7	OE4293R	VNG2338G	Reaction	
R00939	"5,6,7,8-Tetrahydrofolate:NADP+ oxidoreductase"	Dihydrofolate + NADPH + H+ <=> Tetrahydrofolate + NADP+	C00415 + C00005 + C00080 <=> C00101 + C00006	1	1.5.1.3	OE2921R	VNG1344G	Reaction	PMID:15554970
R01569	Thymidylate 5'-phosphohydrolase	dTMP + H2O => Thymidine + Orthophosphate	C00364 + C00001 => C00214 + C00009	0	3.1.3.5	OE3017R	VNG1408G	Reaction	
R01714	5-O-(1-Carboxyvinyl)-3-phosphoshikimate phosphate-lyase	5-O-(1-Carboxyvinyl)-3-phosphoshikimate => Chorismate + Orthophosphate	C01269 => C00251 + C00009	0	4.2.3.5	OE2761R	VNG1230G	Reaction	PMID:3700337
R03026	(S)-3-Hydroxybutanoyl-CoA hydro-lyase	Crotonoyl-CoA + H2O <=> (S)-3-Hydroxybutanoyl-CoA	C00877 + C00001 <=> C01144	1	4.2.1.17	OE3846R	VNG2032G	Reaction	
R05223		Adenosine-GDP-cobinamide + alpha-Ribazole => Cobamide coenzyme + GMP	C06510 + C05775 => C00194 + C00144	0	2.7.8.26	OE3255F	VNG1580H	Reaction	
R90098	ABC-T: (Glycerol)	Glycerol (E) + ATP + H2O => Glycerol + ADP + Orthophosphate + H+	CE00116 + C00002 + C00001 => C00116 + C00008 + C00009 + C00080	0		OE5166F OE5168F OE5169F OE5170F	VNG6277G VNG6279G VNG6280G VNG6281G	Membrane Transport	PMID:3700337
R04558		N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D- + L-Glutamine <=> 1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide + L-Glutamate + D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate	C04916 + C00064 <=> C04677 + C00025 + C04666	1	2.4.2.-	OE2268R OE3913F	VNG0862G VNG2087G	Reaction	
R00502	UTP:alpha-D-hexose-1-phosphate uridylyltransferase	UTP + alpha-D-Galactose 1-phosphate <=> Pyrophosphate + UDP-D-galactose	C00075 + C00446 <=> C00013 + C00052	1	2.7.7.10	OE1578F OE1016R OE1078F OE1114F OE2530F OE1014R	VNG0390G VNG0009G VNG0047G VNG0064G VNG1055G VNG0008G	Reaction	
R02272	"(S)-4-Amino-5-oxopentanoate 4,5-aminomutase"	(S)-4-Amino-5-oxopentanoate <=> 5-Aminolevulinate	C03741 <=> C00430	1	5.4.3.8	OE4268F	VNG2326G	Reaction	
R00671	L-Ornithine ammonia-lyase(cyclizing)	L-Ornithine <=> L-Proline + NH3	C00077 <=> C00148 + C00014	1	4.3.1.12	OE4121R OE2945F	VNG2224G VNG1364G	Reaction	
R01775	L-Homoserine:NADP+ oxidoreductase	L-Homoserine + NADP+ <=> L-Aspartate 4-semialdehyde + NADPH + H+	C00263 + C00006 <=> C00441 + C00005 + C00080	1	1.1.1.3	OE4722R	VNG2650G	Reaction	
R02340	Indole hydro-lyase (adding indoleglycerol-phosphate)	Indoleglycerol phosphate <=> Indole + D-Glyceraldehyde 3-phosphate	C03506 <=> C00463 + C00118	1	4.2.1.20	OE1470F OE1471F	VNG0307G VNG0308G	Reaction	
R05811		Cobalt-precorrin 5 + S-Adenosyl-L-methionine + H2O => Cobalt-precorrin 6 + S-Adenosyl-L-homocysteine + Acetaldehyde	C11541 + C00019 + C00001 => C11542 + C00021 + C00084	0	2.1.1.-	OE3994F	VNG2147G	Reaction	
R03260	O-Succinyl-L-homoserine succinate-lyase (adding cysteine)	O-Succinyl-L-homoserine + L-Cysteine => L-Cystathionine + Succinate	C01118 + C00097 => C02291 + C00042	0	2.5.1.48	OE2173F OE2681F	VNG0796G VNG1172G	Reaction	
R90056	Symport: (Folate:H+)	Folate (E) + H+ (pmf associated) => Folate + H+	CE00504 + C90000 => C00504 + C00080	0				Membrane Transport	
R02093	ATP:nucleoside-diphosphate phosphatransferase	ATP + dTDP <=> ADP + dTTP	C00002 + C00363 <=> C00008 + C00459	1	2.7.4.6	OE2667F	VNG1160G	Reaction	
R04137	3-Hydroxyisopentyl-CoA hydro-lyase	3-Hydroxyisovaleryl-CoA <=> 3-Methylcrotonyl-CoA + H2O	C05998 <=> C03069 + C00001	1	4.2.1.17	OE3846R	VNG2032G	Reaction	
R00771	D-Glucose-6-phosphate ketol-isomerase	D-Glucose 6-phosphate <=> D-Fructose 6-phosphate	C00092 <=> C00085	1	5.3.1.9	OE3792F	VNG1992G	Reaction	PMID:2256927 PMID:3255682 PMID:6642538 PMID:9827332
R01523	ATP:D-ribulose-5-phosphate 1-phosphotransferase	"ATP + D-Ribulose 5-phosphate => ADP + D-Ribulose 1,5-bisphosphate"	C00002 + C00199 => C00008 + C01182	0	2.7.1.19			Reaction	PMID:3255682
R90039	Symport: (L-Histidine:H+)	L-Histidine (E) + H+ (pmf associated) <=> L-Histidine + H+	CE00135 + C90000 <=> C00135 + C00080	1		OE1288F OE5101R	VNG0174G VNG6220G	Membrane Transport	PMID:889797
R01132	IMP:pyrophosphate phosphoribosyltransferase	Hypoxanthine + 5-Phospho-alpha-D-ribose 1-diphosphate => IMP + Pyrophosphate	C00262 + C00119 => C00130 + C00013	0	2.4.2.8	OE1840R	#N/A	Reaction	PMID:9457844
R02019	2'-Deoxyguanosine 5'-diphosphate:oxidized-thioredoxin 2'-oxidoreductase	GDP + Thioredoxin => dGDP + Oxidized thioredoxin + H2O	C00035 + C00342 => C00361 + C00343 + C00001	0	1.17.4.1	OE3328R OE4345R OE4346R	VNG1644G VNG2383G VNG2384G	Reaction	PMID:8990160
R01752	D-Glyceraldehyde:NAD+ oxidoreductase	D-Glyceraldehyde + NAD+ + H2O <=> D-Glycerate + NADH + H+	C00577 + C00003 + C00001 <=> C00258 + C00004 + C00080	1	1.2.1.3	OE2133R OE2190R OE2367F OE4529F	VNG0771G VNG0808G VNG0937G VNG2513G	Reaction	
R04031		"2-Succinylbenzoate + H2O <=> 2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate"	C02730 + C00001 <=> C05817	1	4.2.1.-	OE2558R	VNG1074G	Reaction	
R04463	5'-Phosphoribosylformylglycinamide:L-glutamine amido-ligase (ADP-forming)	ATP + 5'-Phosphoribosyl-N-formylglycinamide + L-Glutamine + H2O => ADP + Orthophosphate + 2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine + L-Glutamate	C00002 + C04376 + C00064 + C00001 => C00008 + C00009 + C04640 + C00025	0	6.3.5.3	OE2274R OE3731R	VNG0864G VNG1945G	Reaction	
R00235	Acetate:CoA ligase (AMP-forming)	ATP + Acetate + CoA => AMP + Pyrophosphate + Acetyl-CoA	C00002 + C00033 + C00010 => C00020 + C00013 + C00024	0	6.2.1.1	OE2450F OE1726F	VNG0997G VNG0484G	Reaction	
R02530	(R)-S-Lactoylglutathione methylglyoxal-lyase (isomerizing)	Glutathione + Methylglyoxal => (R)-S-Lactoylglutathione	C00051 + C00546 => C03451	0	4.4.1.5	OE2610F	VNG1114G	Reaction	
R00713	Succinate-semialdehyde:NAD+ oxidoreductase	Succinate semialdehyde + NAD+ + H2O => Succinate + NADH + H+	C00232 + C00003 + C00001 => C00042 + C00004 + C00080	0	1.2.1.16 1.2.1.24	OE2190R OE2133R OE2367F OE4529F	VNG0808G VNG0771G VNG0937G VNG2513G	Reaction	
R02408	L-Cystine Lysteine-lyase (deaminating)	L-Cystine + H2O => Pyruvate + NH3 + Thiocysteine	C00491 + C00001 => C00022 + C00014 + C01962	0	4.4.1.1 4.4.1.8	OE2173F OE2681F	VNG0796G VNG1172G	Reaction	
R03646	L-Arginine:tRNA(Arg) ligase (AMP-forming)	ATP + L-Arginine + tRNA(Arg) <=> AMP + Pyrophosphate + L-Arginyl-tRNA(Arg)	C00002 + C00062 + C01636 <=> C00020 + C00013 + C02163	1	6.1.1.19	OE5203F	VNG6312G	Reaction	
R02328	dTTP:alpha-D-glucose-1-phosphate thymidylyltransferase	dTTP + D-Glucose 1-phosphate <=> Pyrophosphate + dTDPglucose	C00459 + C00103 <=> C00013 + C00842	1	2.7.7.24	OE1578F OE1016R OE1078F OE1114F OE2530F OE1014R	VNG0390G VNG0009G VNG0047G VNG0064G VNG1055G VNG0008G	Reaction	
R02485	Deoxycytidine aminohydrolase	Deoxycytidine + H2O => Deoxyuridine + NH3	C00881 + C00001 => C00526 + C00014	0	3.5.4.5	OE2313R	VNG0896G	Reaction	
R01090	L-Leucine:2-oxoglutarate aminotransferase	L-Leucine + 2-Oxoglutarate <=> 4-Methyl-2-oxopentanoate + L-Glutamate	C00123 + C00026 <=> C00233 + C00025	1	2.6.1.42 2.6.1.6	OE3959R	VNG2122G	Reaction	
R90134	Symport: (Inosine:H+)	Inosine (E) + H+ (pmf associated) => Inosine + H+	CE00294 + C90000 => C00294 + C00080	0				Membrane Transport	PMID:9457844
R00963	Uridine 5'-monophosphate phosphohydrolase	UMP + H2O => Uridine + Orthophosphate	C00105 + C00001 => C00299 + C00009	0	3.1.3.5	OE3017R	VNG1408G	Reaction	
R01518	"2-Phospho-D-glycerate 2,3-phosphomutase"	2-Phospho-D-glycerate <=> 3-Phospho-D-glycerate	C00631 <=> C00197	1	5.4.2.1 5.4.2.4	OE3653R	VNG1887G	Reaction	PMID:2256927 PMID:9827332
R90100	Halorhodopsin: (Nitrate)	Nitrate (E) + Photon => Nitrate	CE00244 + C90001 => C00244	0		OE1299R	VNG0180G	Membrane Transport	PMID:9233791
R03425	Glycine:lipoylprotein oxidoreductase (decarboxylating and acceptor-aminomethylating)	Glycine + Lipoylprotein => S-Aminomethyldihydrolipoylprotein + CO2	C00037 + C02051 => C01242 + C00011	0	1.4.4.2	OE3274R OE3275R	VNG1601G VNG1603G	Reaction	
R90017	ABC-T L-Glutamine	L-Glutamine (E) + ATP + H2O => L-Glutamine + ADP + Orthophosphate + H+	CE00064 + C00002 + C00001 => C00064 + C00008 + C00009 + C00080	0				Membrane Transport	
R00967	UTP:uridine 5'-phosphotransferase	UTP + Uridine => UDP + UMP	C00075 + C00299 => C00015 + C00105	0	2.7.1.48	OE2749F	VNG1219G	Reaction	
R03530	ATP:nucleoside-diphosphate phosphatransferase	ATP + dIDP <=> ADP + dITP	C00002 + C01344 <=> C00008 + C01345	1	2.7.4.6	OE2667F	VNG1160G	Reaction	
R02199	L-Isoleucine:2-oxoglutarate aminotransferase	L-Isoleucine + 2-Oxoglutarate <=> (R)-2-Oxo-3-methylpentanoate + L-Glutamate	C00407 + C00026 <=> C06008 + C00025	1	2.6.1.42 2.6.1.6	OE3959R	VNG2122G	Reaction	
R01975	(S)-3-Hydroxybutanoyl-CoA:NAD+ oxidoreductase	Acetoacetyl-CoA + NADH <=> (S)-3-Hydroxybutanoyl-CoA + NAD+	C00332 + C00004 <=> C01144 + C00003	1	1.1.1.35	OE2015R OE2871F	VNG0681G VNG1313G	Reaction	
R90000	Oxid Phos: C I (NADH)	NADH + Menaquinone + H+ => NAD+ + Menaquinol + H+ (pmf associated)	C00004 + C00828 + C00080 => C00003 + C05819 + C90000	0	1.6.5.3	OE1953F OE1954F OE1956F OE1957F OE1958F OE1959F OE1960F OE1963F OE1964F OE1965F OE1967F OE4005F OE4007F	VNG0635G VNG0636G VNG0637G VNG0639G VNG0640G VNG0641C VNG0642C VNG0643G VNG0646G VNG0647G VNG0648G VNG2150G VNG2151G	Reaction	PMID:9932647
R00694	L-Phenylalanine:2-oxoglutarate aminotransferase	L-Phenylalanine + 2-Oxoglutarate <=> Phenylpyruvate + L-Glutamate	C00079 + C00026 <=> C00166 + C00025	1	2.6.1.9 2.6.1.1 2.6.1.5 2.6.1.57	OE2507R OE1755F OE1944R OE2619F	VNG1033G VNG0502G VNG0629G VNG1121G	Reaction	
R02097	dTTP:uridine 5'-phosphotransferase	dTTP + Uridine => dTDP + UMP	C00459 + C00299 => C00363 + C00105	0	2.7.1.48	OE2749F	VNG1219G	Reaction	
R00480	ATP:L-aspartate 4-phosphotransferase	ATP + L-Aspartate => ADP + 4-Phospho-L-aspartate	C00002 + C00049 => C00008 + C03082	0	2.7.2.4	OE4333R	VNG2374G	Reaction	
R01074	Biotin:CoA ligase (AMP-forming) Biotin:apo-[carboxylase] ligase (AMP-forming)	ATP + Biotin <=> Pyrophosphate + Biotinyl-5'-AMP	C00002 + C00120 <=> C00013 + C05921	1	6.3.4.15	OE3186F OE1987F	VNG1534a VNG0664G	Reaction	
R00568	CTP aminohydrolase	CTP + H2O => UTP + NH3	C00063 + C00001 => C00075 + C00014	0	3.5.4.13	OE1384F	VNG0245G	Reaction	
R05815		"Cobyrinate + L-Glutamine + ATP + H2O => Cob(II)yrinate a,c diamide + L-Glutamate + ADP + Orthophosphate"	C05773 + C00064 + C00002 + C00001 => C06504 + C00025 + C00008 + C00009	0	6.3.1.- 6.3.5.9	OE3243F	VNG1573G	Reaction	
R00258	L-Alanine:2-oxoglutarate aminotransferase	L-Alanine + Oxaloacetate <=> Pyruvate + L-Aspartate	C00041 + C00036 <=> C00022 + C00049	1	2.6.1.2	OE1755F OE1944R OE2619F	VNG0502G VNG0629G VNG1121G	Reaction	PMID:8157586 PMID:9827332
R00303	D-Glucose-6-phosphate phosphohydrolase	D-Glucose 6-phosphate + H2O => D-Glucose + Orthophosphate	C00092 + C00001 => C00031 + C00009	0	3.1.3.9			Reaction	PMID:3255682 PMID:9827332
R90021	ABC-T L-Phenylalanine	L-Phenylalanine (E) + ATP + H2O => L-Phenylalanine + ADP + Orthophosphate + H+	CE00079 + C00002 + C00001 => C00079 + C00008 + C00009 + C00080	0				Membrane Transport	
R04738	(S)-3-Hydroxyhexadecanoyl-CoA hydro-lyase	(S)-3-Hydroxyhexadecanoyl-CoA <=> trans-Hexadec-2-enoyl-CoA + H2O	C05258 <=> C05272 + C00001	1	4.2.1.17	OE3846R	VNG2032G	Reaction	
R04150	"O-Succinylbenzoyl-CoA 1,4-dihydroxy-2-naphthoate-lyase"	"2-Succinylbenzoyl-CoA <=> 1,4-Dihydroxy-2-naphthoate + CoA"	C03160 <=> C03657 + C00010	1	4.1.3.36	OE2561R	VNG1079G	Reaction	
R04325	10-Formyltetrahydrofolate:5'-phosphoribosylglycinamide formyltransferase	10-Formyltetrahydrofolate + 5'-Phosphoribosylglycinamide => Tetrahydrofolate + 5'-Phosphoribosyl-N-formylglycinamide	C00234 + C03838 => C00101 + C04376	0	2.1.2.2	OE1620R	VNG0414G	Reaction	
R02024	2'-Deoxycytidine diphosphate:oxidized-thioredoxin 2'-oxidoreductase	Thioredoxin + CDP => dCDP + Oxidized thioredoxin + H2O	C00342 + C00112 => C00705 + C00343 + C00001	0	1.17.4.1	OE3328R OE4345R OE4346R	VNG1644G VNG2383G VNG2384G	Reaction	PMID:8990160
R02285	N-Formimino-L-glutamate formiminohydrolase	N-Formimino-L-glutamate + H2O => L-Glutamate + Formamide	C00439 + C00001 => C00025 + C00488	0	3.5.3.8	OE2736F	VNG1209G	Reaction	
R00768	L-Glutamine:D-fructose-6-phosphate aminotransferase (hexose isomerizing)	L-Glutamine + D-Fructose 6-phosphate => L-Glutamate + D-Glucosamine 6-phosphate	C00064 + C00085 => C00025 + C00352	0	2.6.1.16	OE1013R	VNG0006G	Reaction	
R04204	"(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA hydro-liase"	"2-Methylbut-2-enoyl-CoA + H2O <=> (2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA"	C03345 + C00001 <=> C04405	1	4.2.1.17	OE3846R	VNG2032G	Reaction	
R04158	Geranylgeranyl diphosphate:sn-glyceryl phosphate geranylgeranyltransferase	Geranylgeranyl diphosphate + sn-Glycerol 3-phosphate <=> Pyrophosphate + sn-3-O-(Geranylgeranyl)glycerol 1-phosphate	C00353 + C00093 <=> C00013 + C04590	1	2.5.1.41			Reaction	PMID:16788058
R90138	ABC-T: (Hexadecanoic acid)	Hexadecanoic acid (E) + ATP + H2O => Hexadecanoic acid + ADP + Orthophosphate + H+	CE00249 + C00002 + C00001 => C00249 + C00008 + C00009 + C00080	0				Membrane Transport	
R05048	"GTP 7,8-8,9-dihydrolase"	"2,5-Diaminopyrimidine nucleoside triphosphate => 2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-"	C05923 => C06148	0	3.5.4.16			Reaction	PMID:17032654
R00084	Porphobilinogen ammonia-lyase (polymerizing)	Porphobilinogen + H2O => Hydroxymethylbilane + NH3	C00931 + C00001 => C01024 + C00014	0	2.5.1.61	OE4276F	VNG2330G	Reaction	
R01737	ATP:D-Gluconate 6-phosphotransferase	ATP + D-Gluconic acid => ADP + 6-Phospho-D-gluconate	C00002 + C00257 => C00008 + C00345	0	2.7.1.12			Reaction	
R00137	ATP:nicotinamide-nucleotide adenylyltransferase	ATP + Nicotinamide D-ribonucleotide => Pyrophosphate + NAD+	C00002 + C00455 => C00013 + C00003	0	2.7.7.1	OE1462R	VNG0301C	Reaction	
R90073	Diffusion: (Hydrogen)	Hydrogen (E) <=> Hydrogen	CE00282 <=> C00282	1				Membrane Transport	
R00935	(S)-Methylmalonate semialdehyde:NAD+ oxidoreductase (CoA-propanoylating)	(S)-Methylmalonate semialdehyde + CoA + NAD+ => Propanoyl-CoA + CO2 + NADH + H+	C06002 + C00010 + C00003 => C00100 + C00011 + C00004 + C00080	0	1.2.1.27	OE4529F OE2367F OE2190R OE2133R	VNG2513G VNG0937G VNG0808G VNG0771G	Reaction	
R02918	L-Tyrosine:tRNA(Tyr) ligase (AMP-forming)	ATP + L-Tyrosine + tRNA(Tyr) <=> AMP + Pyrophosphate + L-Tyrosyl-tRNA(Tyr)	C00002 + C00082 + C00787 <=> C00020 + C00013 + C02839	1	6.1.1.1	OE4139R	VNG2237G	Reaction	
R04391	ATP:pantothenate 4'-phosphotransferase	ATP + N-((R)-Pantothenoyl)-L-cysteine => ADP + (R)-4'-Phosphopantothenoyl-L-cysteine	C00002 + C04079 => C00008 + C04352	0	2.7.1.33			Reaction	
R04859	O3-Acetyl-L-serine acetate-lyase (adding hydrogen sulfide)	O-Acetyl-L-serine + Thiosulfate + Thioredoxin + H+ => L-Cysteine + Sulfite + Oxidized thioredoxin + Acetate	C00979 + C00320 + C00342 + C00080 => C00097 + C00094 + C00343 + C00033	0	2.5.1.47 2.5.1.49	OE1916F OE2860R OE4398F	VNG0606G VNG1301G VNG2421G	Reaction	
R90125	Symport: (Succinate:H+)	Succinate (E) + H+ (pmf associated) <=> Succinate + H+	CE00042 + C90000 <=> C00042 + C00080	1				Membrane Transport	
R03038	L-Alanine:tRNA(Ala) ligase (AMP-forming)	ATP + L-Alanine + tRNA(Ala) <=> AMP + Pyrophosphate + L-Alanyl-tRNA	C00002 + C00041 + C01635 <=> C00020 + C00013 + C00886	1	6.1.1.7	OE4198F	VNG2283G	Reaction	
R04745	(S)-Hydroxyoctanoyl-CoA:NAD+ oxidoreductase	(S)-Hydroxyoctanoyl-CoA + NAD+ <=> 3-Oxooctanoyl-CoA + NADH	C05266 + C00003 <=> C05267 + C00004	1	1.1.1.35	OE2015R	VNG0681G	Reaction	
R03269	N-[(R)-4'-Phosphopantothenoyl]-L-cysteine carboxy-lyase	(R)-4'-Phosphopantothenoyl-L-cysteine => Pantetheine 4'-phosphate + CO2	C04352 => C01134 + C00011	0	4.1.1.36	OE1856R	VNG0572G	Reaction	
R02326	ATP:nucleoside-diphosphate phosphatransferase	ATP + dCDP <=> ADP + dCTP	C00002 + C00705 <=> C00008 + C00458	1	2.7.4.6	OE2667F	VNG1160G	Reaction	
R90110	Symport: (Betaine:H+)	Betaine (E) => Betaine	CE00719 => C00719	0				Membrane Transport	
R90027	ABC-T L-Threonine	L-Threonine (E) + ATP + H2O => L-Threonine + ADP + Orthophosphate + H+	CE00188 + C00002 + C00001 => C00188 + C00008 + C00009 + C00080	0				Membrane Transport	
R03758		L-2-Amino-3-oxobutanoate => Aminoacetone + CO2	C03508 => C01888 + C00011	0	-			Reaction	
R00378	Thymidine triphosphate:DNA deoxynucleotidyltransferase (DNA-directed)	dTTP => Pyrophosphate + dTMP	C00459 => C00013 + C00364	0	2.7.7.7	OE4293R	VNG2338G	Reaction	
R00437	Polyribonucleotide:orthophosphate nucleotidyltransferase	ADP => Orthophosphate + AMP	C00008 => C00009 + C00020	0	2.7.7.8	OE1818R	VNG0549G	Reaction	
R03990	"Tetradecanoyl-CoA:(acceptor) 2,3-oxidoreductase"	Tetradecanoyl-CoA + FAD => trans-Tetradec-2-enoyl-CoA + FADH2	C02593 + C00016 => C05273 + C01352	0	1.3.3.6 1.3.99.3 1.3.99.13	OE2710F OE1555F OE2013R OE2138F OE3123R OE4500R	VNG1191G VNG0371G VNG0679G VNG0775G VNG1482G VNG2499G	Reaction	
R06613	"5,10-methylenetetrahydrofolate,FADH2:dUMP C-methyltransferase"	"5,10-Methylenetetrahydrofolate + dUMP + FADH2 => Tetrahydrofolate + dTMP + FAD"	C00143 + C00365 + C01352 => C00101 + C00364 + C00016	0	2.1.1.148	OE2898R	VNG1325C	Reaction	PMID:12423760
R01121	ATP:(R)-5-diphosphomevalonate carboxy-lyase (dehydrating)	ATP + (R)-5-Diphosphomevalonate => ADP + Orthophosphate + Isopentenyl diphosphate + CO2	C00002 + C01143 => C00008 + C00009 + C00129 + C00011	0	4.1.1.33	OE1893F	VNG0593G	Reaction	PMID:3700337
R01197		Reduced ferredoxin + Succinyl-CoA + CO2 <=> Oxidized ferredoxin + 2-Oxoglutarate + CoA	C00138 + C00091 + C00011 <=> C00139 + C00026 + C00010	1	1.2.7.3	OE1710R OE1711R	VNG0473G VNG0474G	Reaction	PMID:5780095 PMID:6266826 PMID:6266827 PMID:9827332
R01157	Agmatine amidinohydrolase	Agmatine + H2O => Putrescine + Urea	C00179 + C00001 => C00134 + C00086	0	3.5.3.11	OE3486R	VNG1767G	Reaction	
R00885	GTP:alpha-D-mannose-1-phosphate guanylyltransferase	GTP + D-Mannose 1-phosphate <=> Pyrophosphate + GDPmannose	C00044 + C00636 <=> C00013 + C00096	1	2.7.7.13	OE4022R	VNG2159G	Reaction	
R02722	L-Serine hydro-lyase (adding indoleglycerol-phosphate)	L-Serine + Indoleglycerol phosphate <=> L-Tryptophan + Glyceraldehyde 3-phosphate + H2O	C00065 + C03506 <=> C00078 + C00661 + C00001	1	4.2.1.20	OE1470F OE1471F	VNG0307G VNG0308G	Reaction	
R01228	ATP:inosine 5'-phosphotransferase	ATP + Guanosine => ADP + GMP	C00002 + C00387 => C00008 + C00144	0	2.7.1.73	OE3606R	VNG1851G	Reaction	PMID:9457844
